LSOA_code,Total: All households,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions
E01011717 : Leeds 029C,725,348,215,121,41,0
E01011718 : Leeds 029D,824,394,249,136,45,0
E01011720 : Leeds 029E,696,238,232,164,55,7
E01011296 : Leeds 030A,776,390,285,86,14,1
E01011297 : Leeds 030B,707,427,208,57,14,1
E01011309 : Leeds 030C,663,335,252,57,17,2
E01011310 : Leeds 030D,731,434,225,60,11,1
E01011513 : Leeds 031A,966,645,238,73,10,0
E01011688 : Leeds 031B,609,359,168,66,16,0
E01011689 : Leeds 031C,803,438,266,78,21,0
E01011691 : Leeds 031D,689,316,193,141,39,0
E01011504 : Leeds 032A,749,278,254,162,51,4
E01011641 : Leeds 032B,616,420,146,43,7,0
E01011642 : Leeds 032C,492,304,138,45,4,1
E01011645 : Leeds 032D,616,370,179,46,19,2
E01011484 : Leeds 033A,668,217,210,159,79,3
E01011485 : Leeds 033B,762,311,257,137,51,6
E01011686 : Leeds 033E,804,273,269,178,77,7
E01032493 : Leeds 033F,643,387,185,63,7,1
E01032494 : Leeds 033G,720,243,293,139,40,5
E01011350 : Leeds 034A,678,435,187,48,8,0
E01011351 : Leeds 034B,906,573,234,80,19,0
E01011352 : Leeds 034C,964,579,257,113,14,1
E01011353 : Leeds 034D,847,572,217,49,8,1
E01011656 : Leeds 035A,639,219,218,115,83,4
E01011657 : Leeds 035B,608,196,193,148,65,6
E01011659 : Leeds 035C,662,194,229,137,93,9
E01011661 : Leeds 035D,877,212,297,265,98,5
E01011643 : Leeds 037A,636,382,183,58,13,0
E01011644 : Leeds 037B,557,288,186,53,25,5
E01011646 : Leeds 037C,651,356,200,78,17,0
E01011647 : Leeds 037D,543,236,198,82,24,3
E01011648 : Leeds 037E,578,292,192,82,12,0
E01011354 : Leeds 038A,654,224,236,131,59,4
E01011355 : Leeds 038B,609,275,172,115,42,5
E01011357 : Leeds 038C,909,299,326,203,77,4
E01011450 : Leeds 038D,521,247,157,79,38,0
E01011588 : Leeds 039A,708,454,181,55,17,1
E01011589 : Leeds 039B,702,452,188,52,10,0
E01011590 : Leeds 039C,664,403,205,48,8,0
E01011592 : Leeds 039D,793,449,244,85,15,0
E01011593 : Leeds 039E,854,537,260,51,4,2
E01011421 : Leeds 040A,601,220,219,121,38,3
E01011425 : Leeds 040B,605,309,194,83,15,4
E01011658 : Leeds 040C,751,255,254,166,73,3
E01011660 : Leeds 040D,754,303,241,158,50,2
E01011662 : Leeds 040E,516,105,172,161,75,3
E01011721 : Leeds 041A,619,220,214,136,46,3
E01011722 : Leeds 041B,910,382,323,148,55,2
E01011723 : Leeds 041C,712,233,246,173,57,3
E01011724 : Leeds 041D,841,296,296,182,61,6
E01011356 : Leeds 042A,938,544,250,111,29,4
E01011358 : Leeds 042B,717,289,262,116,47,3
E01011359 : Leeds 042C,832,353,301,130,43,5
E01011360 : Leeds 042D,753,267,278,172,34,2
E01011361 : Leeds 042E,1140,397,434,244,60,5
E01011435 : Leeds 044A,605,307,213,74,11,0
E01011440 : Leeds 044D,662,339,220,75,26,2
E01011441 : Leeds 044E,688,316,258,91,21,2
E01035040 : Leeds 044G,538,281,189,47,20,1
